sequence,cost,iter_count,elapsed_time
"[3, 1, 7, 6, 2, 5, 8, 4, 0, 9]",2079,50,0.003
"[3, 1, 2, 6, 5, 8, 4, 7, 0, 9]",1057,50,0.001
"[3, 1, 2, 6, 8, 5, 4, 7, 0, 9]",841,50,0.001
"[3, 1, 0, 2, 6, 8, 5, 4, 7, 9]",902,50,0.001
"[3, 0, 6, 4, 1, 8, 5, 7, 2, 9]",1132,50,0.002
"[4, 1, 3, 6, 0, 8, 5, 7, 2, 9]",615,50,0.003
"[4, 1, 3, 6, 0, 8, 5, 7, 2, 9]",963,50,0.001
"[4, 1, 3, 6, 0, 8, 5, 7, 2, 9]",1898,50,0.001
"[1, 0, 9, 8, 5, 6, 2, 4, 3, 7]",1697,50,0.002
"[6, 1, 0, 9, 8, 5, 2, 4, 3, 7]",931,50,0.002
"[6, 1, 5, 8, 0, 9, 2, 4, 3, 7]",926,50,0.002
"[6, 1, 5, 8, 0, 9, 2, 4, 3, 7]",1234,50,0.002
"[5, 4, 1, 3, 9, 0, 6, 2, 7, 8]",2169,50,0.004
"[1, 9, 3, 0, 5, 4, 6, 2, 7, 8]",1357,50,0.002
"[5, 1, 9, 3, 0, 4, 6, 2, 7, 8]",815,50,0.001
"[5, 1, 9, 0, 4, 6, 3, 2, 7, 8]",830,50,0.001
"[8, 5, 2, 3, 6, 0, 9, 4, 1, 7]",1220,50,0.002
"[6, 8, 9, 3, 2, 5, 0, 4, 1, 7]",630,50,0.002
"[4, 6, 8, 9, 5, 2, 3, 0, 1, 7]",521,50,0.001
"[4, 6, 8, 9, 5, 2, 3, 0, 1, 7]",707,50,0.003
"[1, 5, 9, 2, 8, 4, 3, 7, 0, 6]",1623,50,0.005
"[3, 1, 5, 2, 9, 8, 4, 7, 0, 6]",961,50,0.031
"[7, 3, 1, 9, 5, 2, 8, 4, 0, 6]",765,50,0.001
"[7, 3, 1, 9, 5, 2, 8, 4, 0, 6]",1225,50,0.001
"[2, 8, 1, 5, 6, 9, 3, 0, 7, 4]",2269,50,0.002
"[2, 6, 9, 1, 8, 5, 3, 0, 7, 4]",1374,50,0.002
"[7, 5, 2, 6, 9, 1, 8, 3, 0, 4]",1102,50,0.007
"[7, 5, 2, 6, 9, 8, 1, 3, 0, 4]",1439,50,0.003
"[6, 4, 0, 5, 7, 8, 3, 9, 1, 2]",1887,50,0.003
"[3, 1, 0, 5, 7, 6, 8, 4, 9, 2]",1413,50,0.001
"[9, 3, 6, 5, 0, 7, 8, 4, 1, 2]",610,50,0.002
"[9, 3, 6, 1, 5, 0, 7, 8, 4, 2]",574,50,0.001
"[7, 4, 8, 9, 5, 1, 3, 6, 2, 0]",1638,50,0.002
"[3, 4, 9, 5, 8, 1, 7, 6, 2, 0]",876,50,0.002
"[3, 6, 4, 9, 8, 5, 1, 7, 2, 0]",600,50,0.004
"[0, 3, 6, 4, 9, 8, 5, 1, 7, 2]",719,50,0.002
"[9, 6, 5, 4, 8, 7, 0, 2, 3, 1]",1869,50,0.004
"[9, 8, 7, 5, 4, 6, 0, 2, 3, 1]",1173,50,0.003
"[9, 8, 0, 4, 7, 5, 6, 2, 3, 1]",711,50,0.022
"[9, 8, 0, 4, 7, 6, 5, 2, 3, 1]",671,50,0.008
"[2, 9, 10, 5, 11, 0, 4, 1, 14, 7, 13, 6, 3, 15, 17, 18, 12, 19, 16, 8]",4744,50,0.007
"[2, 9, 10, 1, 13, 7, 0, 4, 11, 5, 14, 6, 3, 15, 17, 18, 12, 19, 16, 8]",3066,50,0.008
"[2, 12, 9, 10, 1, 13, 0, 4, 11, 5, 14, 7, 6, 3, 15, 17, 18, 19, 16, 8]",3749,50,0.014
"[2, 12, 9, 10, 1, 13, 0, 4, 11, 5, 14, 7, 6, 3, 15, 17, 18, 19, 16, 8]",7205,50,0.003
"[2, 15, 5, 18, 1, 9, 12, 0, 17, 11, 16, 19, 4, 7, 8, 3, 10, 14, 13, 6]",8567,50,0.006
"[8, 2, 19, 11, 15, 5, 18, 1, 9, 12, 0, 17, 16, 4, 7, 3, 10, 14, 13, 6]",5025,50,0.002
"[8, 2, 13, 19, 11, 10, 9, 15, 5, 0, 18, 1, 12, 17, 16, 4, 7, 3, 14, 6]",3260,50,0.009
"[8, 2, 13, 19, 11, 3, 10, 9, 15, 16, 5, 0, 1, 18, 12, 17, 4, 7, 14, 6]",3510,50,0.002
"[2, 6, 18, 4, 16, 7, 11, 9, 12, 13, 15, 14, 1, 3, 5, 19, 17, 10, 8, 0]",6308,50,0.003
"[2, 6, 9, 12, 14, 1, 4, 7, 16, 11, 18, 13, 15, 3, 5, 19, 17, 10, 8, 0]",3978,50,0.006
"[2, 6, 5, 9, 12, 14, 1, 18, 11, 16, 7, 4, 13, 15, 3, 19, 17, 10, 8, 0]",3871,50,0.004
"[2, 6, 5, 9, 12, 14, 1, 18, 11, 16, 7, 4, 13, 15, 3, 19, 17, 10, 8, 0]",6906,50,0.001
"[11, 12, 10, 13, 6, 2, 0, 14, 7, 5, 8, 9, 19, 3, 1, 18, 4, 16, 17, 15]",9312,50,0.004
"[11, 19, 5, 12, 2, 7, 13, 6, 10, 0, 14, 8, 9, 3, 1, 18, 4, 16, 17, 15]",5318,50,0.006
"[11, 19, 5, 12, 2, 3, 10, 9, 8, 6, 13, 0, 14, 7, 1, 18, 4, 16, 17, 15]",3323,50,0.01
"[11, 19, 5, 12, 18, 2, 3, 10, 9, 8, 6, 13, 0, 14, 7, 1, 4, 16, 17, 15]",3754,50,0.003
"[3, 6, 15, 10, 19, 9, 14, 1, 4, 11, 16, 0, 13, 12, 7, 18, 5, 8, 2, 17]",4852,50,0.004
"[3, 16, 13, 7, 11, 14, 15, 10, 19, 9, 1, 4, 0, 12, 6, 18, 5, 8, 2, 17]",2588,50,0.003
"[3, 8, 16, 4, 7, 11, 6, 9, 14, 15, 10, 19, 1, 0, 13, 12, 18, 5, 2, 17]",2265,50,0.004
"[3, 8, 16, 4, 7, 11, 6, 9, 14, 15, 10, 19, 1, 0, 13, 12, 18, 5, 2, 17]",3761,50,0.002
"[7, 18, 1, 19, 3, 11, 4, 2, 17, 13, 8, 9, 5, 16, 0, 12, 6, 10, 15, 14]",6868,50,0.003
"[7, 18, 17, 5, 8, 1, 11, 19, 3, 4, 2, 13, 9, 16, 0, 12, 6, 10, 15, 14]",3658,50,0.005
"[7, 18, 17, 5, 13, 0, 8, 1, 4, 11, 19, 3, 2, 9, 16, 12, 6, 10, 15, 14]",3170,50,0.004
"[7, 18, 17, 5, 13, 0, 8, 1, 4, 11, 19, 3, 2, 9, 16, 12, 6, 10, 15, 14]",5975,50,0.001
"[17, 0, 19, 18, 1, 4, 10, 2, 11, 15, 6, 7, 16, 13, 9, 8, 12, 5, 14, 3]",10881,50,0.003
"[8, 7, 11, 10, 17, 0, 18, 1, 19, 4, 2, 15, 6, 16, 13, 9, 12, 5, 14, 3]",6383,50,0.002
"[12, 7, 11, 9, 10, 17, 0, 16, 1, 18, 19, 4, 2, 15, 6, 13, 8, 5, 14, 3]",4411,50,0.006
"[8, 12, 7, 11, 9, 10, 15, 17, 0, 16, 1, 18, 19, 4, 2, 6, 13, 5, 14, 3]",4724,50,0.002
"[5, 2, 7, 4, 9, 12, 8, 17, 10, 14, 18, 15, 1, 3, 0, 19, 16, 13, 11, 6]",4246,50,0.004
"[5, 1, 17, 2, 8, 7, 12, 4, 9, 10, 14, 18, 15, 3, 0, 19, 16, 13, 11, 6]",2210,50,0.003
"[5, 18, 16, 1, 17, 2, 8, 7, 12, 4, 9, 10, 14, 15, 3, 0, 19, 13, 11, 6]",1787,50,0.003
"[5, 18, 16, 1, 17, 2, 8, 7, 12, 4, 9, 10, 14, 15, 3, 0, 19, 13, 11, 6]",4095,50,0.002
"[7, 6, 13, 17, 2, 15, 16, 18, 14, 19, 4, 11, 9, 8, 10, 0, 1, 5, 3, 12]",3544,50,0.003
"[7, 9, 19, 6, 8, 14, 13, 17, 2, 15, 16, 18, 4, 11, 10, 0, 1, 5, 3, 12]",2248,50,0.006
"[7, 9, 19, 6, 0, 16, 14, 2, 15, 13, 17, 18, 4, 11, 8, 10, 1, 5, 3, 12]",2288,50,0.004
"[7, 9, 19, 6, 0, 16, 14, 2, 15, 13, 17, 18, 4, 11, 8, 10, 1, 5, 3, 12]",3667,50,0.003
"[0, 10, 7, 6, 14, 4, 13, 2, 18, 5, 17, 1, 9, 3, 19, 12, 15, 11, 8, 16]",5497,50,0.005
"[0, 17, 3, 10, 2, 18, 14, 7, 4, 6, 13, 5, 1, 9, 19, 12, 15, 11, 8, 16]",3038,50,0.004
"[0, 15, 17, 12, 3, 10, 2, 18, 4, 7, 14, 6, 13, 5, 1, 9, 19, 11, 8, 16]",2110,50,0.003
"[0, 15, 17, 12, 3, 10, 2, 5, 18, 4, 7, 14, 6, 13, 1, 9, 19, 11, 8, 16]",3510,50,0.002
